name,headline,languages,location,rating_fide,rating_bullet,rating_blitz,rating_rapid,rate,about,playing_experience,teaching_experience,other_experience,best_skills,teaching_methodology,titles
WIM Ana Gavasheli,None,"['English (US), ქართული, русский язык']",Tbilisi,2226.0,None,None,None,None,"I am from Tbilisi, to me it is the most beautiful city on earth! Chess professional more than twenty-five years. Currently learning computer science, intend to become a master here as well. Anyway, these words of Bobby Fischer still work for me -""All I want to do, ever, is play chess.""",Woman International Master. Multiple winner of Georgian Youth Chess Championships since 1997. The winner and a prize holder of several international chess tournaments among women. ,"The first serious experience of coaching was in 2013-2014, when I was working at a public school as a volunteer chess teacher in high mountainous village of Georgia. I was giving lessons of English language and literature as well. Since then I also have private students.","For students who do not have time for online classes, I draw up the personal plan and write appropriate material to work with.","I am able to train you in every field of the game, up to the medium specialist level, but my strongest side is an endgame play. ","I configure the teaching plan personally for each student, according to their knowledge level.",WIM
IM Dusan Radovanovic,None,['English (US)'],Belgrade,2321.0,2344,2497,None,None,My name is Dusan Radovanovic and I am an International Master. I’ve been a chess coach for 20 years and I am offering chess lessons to players of all levels. I am especially dedicated to recognition of your chess style and character insisting on the thinking processes and understanding of chess. ,"I've been competing in European and World Chess Championships, regularly playing Premier National league in Serbia as a domestic player and abroad as a foreign player. Junior Chess Champion of Yugoslavia in 1998-1999.",I have been coaching Serbian Youth Chess Champions and many players who had significant results on national and international levels.,None,None,My work with students is based on the long-term personalized Working plan that I create for all the students according to their preferences and chess goals. The Working plan lists the openings that would fit your style and literature which will help you on the way to reach your goals. When working with students I use methodological tools that I learned from the world best coaches. I especially worked on approach to young chess players who need special psychological approach and not only the chess materials.,IM
WGM Татьяна Шадрина,None,"['русский язык, English (US)']",None,2320.0,None,2442,None,None,Tatiana Shadrina a Russian woman grandmaster since 1998 and an active player till 2014. More than 15 years of coaching experience.,"Playing chess all my life , my best tournaments are sharing 3-5 places in a Woman European Championship 2009, (gold, bronze and silver) medals in Russian Higher League, gold and silver medals in Russian and Euro Club Championship as a member of UGRA team, 5 times participant of a Russian Woman Superfinal",I've been working in a local chess school for more than 15 years,None,None,Working via Skype and ,WGM
GM Sergey Drygalov,None,"['русский язык, English (US)']",Moscow,2558.0,2917,2903,None,None,Сергей Дрыгалов 24 года. Международный Гроссмейстер по шахматам. На данный момент рейтинг fide составляет 2558. Тренирую учеников любого возраста.,"Занимаюсь шахматами очень долгое время) Самое крупное достижение в моей карьере игрока - Чемпион России среди юниоров до 21 года. Также очень много международных турниров , где мне удалось занять призовые места. Например: ","Обучаю как детей так и взрослых. Опыт преподавания 7 лет , город Москва.",None,None,None,GM
FM Márton Urhegyi,"“Every chess master was once a beginner.” – Irving Chernev, One of my main goals is to show you how amazing and beautiful this game is!","['Magyar, English (US)']",Budapest,2300.0,2601,2427,None,None,"Hi, my name is Marci, I am a 25 year old chess player and coach from Hungary, with 1 IM norm and peak rating of 2340. Apart from chess, I am university student, and professor assistant,  I have acquired my bachelor's degree and now I'm doing my master's studies.","I started playing chess at the age of 6. I achieved the Fide Master title at the age of 15. I won the Hungarian U18 Championship with my team  3 times and individually finished 3rd in the U20 Hungarian Championship. Currently, I am playing in the first class of the Hungarian National Championship and in the Slovakian Extraleague. The strongest opponent I beated OTB was Maxim Chigaev (Grandmaster from Russia rated around 2600 in classical).","I have 5 years of teaching experience with students from the beginner level up to the 2100 rating level. I worked together with 6 years old girls and 30+ years old dads so age is not a problem for me. I think I am a funny person and I can teach you interesting things about chess and life! I like interactive lessons, so you can expect to be an active participant in the lesson, as in my opinion, it is the fastest way to get to the next level. I was several times leader for my club and my students won the Hungarian U10 team championship, and one of my students won the indivudual U10 championship and another one the U12 championship. Two of my students participated on the European Championship last year.","I also have coaches and very good friends from chess, so I often cooperate with my international master and grand master mates and I have up-to-date databases and opening repertoires. During my childhood, I competed not just in chess (athletic, karate, table tennis, ice skating), so I have real-life stories to improve your competitive mindset. ","I have attacking style in chess, I love extremely sharp positions. I have so many studies and books in pdf and in pgn formats, I was a pro member in chessmood and in chessable. I like working with computers, so if you have any questions about how to use professional chess programs I could help you. If I want to compare myself with other coaches and masters, I think my biggest advantage is I am not just a chess player, but a highly educated university student, so if you have questions not just in chess, maybe I can help you. ","I adapt my teaching methods based on the student’s level, objectives and needs. ",FM
IM Rakesh Kumar Jena,None,"['English (US), हिन्दी, हिंदी']",Cuttack,2335.0,None,None,None,None,"I am Rakesh, a native of Odisha, India. Since 2007, I have immersed myself in the intricate world of chess, embarking on a journey defined by unwavering dedication and fervor.",I started playing chess in 2007 and turned professional in 2009.,"We can schedule lessons via Zoom, with a focus on the Middlegame and Endgame.",None,None,"We can schedule lessons via Zoom, with a focus on the Middlegame and Endgame.",IM
FM Nazmi Can Doğan,None,"['Türkçe, English (US)']",Mersin,None,2740,2604,None,None,"I'm Nazmi Can Dogan, 32 years old chess player and coach from Turkey. ",I've been playing chess since i was 6 and coaching for 10 years. I have the ELO of 2290 and 1 International Master norm. ,"I am the holder of the FIDE Instructor certificate since 2011 and I've been teaching for more than 10 years, and i've many successful pupils from various ages.",None,None,Every coach has their own way but my main method is to ,FM
WFM S. M.,None,"['हिन्दी, हिंदी, বাংলা, English (US)']",None,2027.0,2333,None,None,None,I am a WFM from India coming from a Professional Chess Family. My sister is a WGM/IM while my dad is involved in teaching chess to young kids.,"I have been playing Chess at State, National and International Level for the last 36 years!",I have taught Chess to school children of 5-19 years for  16+ years and also giving online classes to students from various countries esp. US for the past 14+ years.,I have also composed a song on Chess in Indian National language on which my students performed. The link to which is --,improving a student's calculating ability,"Depending on the standard of a student and keeping in mind his/ her strong points and weaknesses, I make a plan and then follow up regularly over email and whatsapp. If required, I also make a weekly time table depending on the time they can put in for Chess. I analyze",WFM
GM Shahin Lorparizangeneh,None,"['English (US), فارسی']",ٍEsfahan,2482.0,2835,2573,None,None,hi everyone!,"five time Asian champion record holder, world youth, U18 world Bronze medalist  and member of Iranian national team on 2016 Baku Olympiad and many more international awards.",Also i have been a chess coach since 2015 and offer chess listens with best conditions (for more information please kindly DM me) my specialty is on Openings and middle game Strategy deep concepts and techniques,Fide ID: 12521604,Opening- chess psychology- Strategic concepts ,Simple but Storng. with passion and so much energy!,GM
WFM Leancy B Fernandez Bustamante,None,['Español'],Barcelona,2164.0,2519,2270,None,None,Soy Leancy Fernandez Bustamante maestra fide de Cuba 🇨🇺 ,"Fui campeona nacional en las categorías escolares y juveniles.Obtuve 1er lugar en  la semifinal de Cuba femenina. He participado en mas de 10 eventos internacionales con resultados satisfactorios como por ejemplo superioridad sobre GM,MI,MF,WGM,WMI y WMF.Quedé en 4 to lugar en un panamericano Universitario .","Llevo mas de 5 años enseñando el ajedrez a todo tipo de alumnos:niños,jóvenes,aficionados y todo aquel que desee aprender más del deporte ciencia.",None,None,"Me adapto a los alumnos,a sus necesidades  y a partir de ahí es que creo nuestro plan de estudio.",WFM
FM Jan Boder,None,['Deutsch'],None,2328.0,2600,2433,2495,None,Hallo Schachfreunde :),Ich spiele seit dem ich 12 Jahre alt bin im Verein Schach.,Ich gebe seit 3 Jahren privates Schachtraining.,Ich habe noch vor einem Jahr regelmäßig auf Twitch gestreamt und Youtube Videos unter dem Namen Meister Jabo hochgeladen.,In komplexen dynamischen Stellungen fühle ich mich wohl.,"In meinem Training werden alle Spielphasen einer Schachpartie also Eröffnung, Mittelspiel und Endspiel abgedeckt.",FM
IM Konstantin Kazakov," I have been working for 6 years. During this time, I have prepared 1 fide master, 3 candidates for master of sports and 7 first-graders and many players of Junior ranks.",['русский язык'],Pavlodar,2390.0,2748,2590,None,None,Мне 27 лет; по профессии тренер-преподаватель. Работаю 6 год. Сам являюсь международным мастером и одновременно с работой тренером работаю также директором собственной шахматной школы.,Играю в шахматы уже 17 лет. ,6 лет. Мои 3 лучших ученика - Kim Kristina rating 2019; Kertaev Natan rating 1908; FM Bekturov Tamerlan rating 2236,Выпускаю ролики на Youtube  и студии на ,"Тактика, счёт, понимание динамики. В обучении - ученики развиваются равномерно, не превращаются в шахматных кваземодо","Смотрим учебные примеры, ищем ходы в разные моменты. В первую очередь изучении тактики - позже стратегия. Сначала нужно наладить добивание и только потом научиться играть позиционно. ",IM
FM Veaceslav Cofmann,None,"['Deutsch, English (US)']",Karlsruhe,2309.0,2718,2632,2659,None,"Hallo,  ich heiße Veaceslav Cofmann und bin 29 Jahre alt. Seit 10 Jahren trainiere ich Kinder und Erwachsene verschiedenen Alters und Spielstärke.  ","Ich spiele seit 20 Jahren aktiv Schach.  Zurzeit spiele ich beim SC Eppingen in der 2. Liga Süd. Ich habe auch an verschiedenen Turnieren teilgenommen, mein größter Erfolg war der 2. Platz beim Untergrombach Open 2023 und der 1. Platz beim Schaffhausen Open 2022.","Ich habe vor 10 Jahren angefangen, Kinder zu trainieren, später auch Erwachsene unterschiedlichen Alters und Spielstärke.  Seit 3 Jahren gebe ich Onlinetraining an meine Schüler.",None,"Mein Ziel als dein Trainer ist es, dir beizubringen, wie du während der Partie denken und die richtigen Entscheidungen treffen kannst.","In meinem Training möchte ich meine Begeisterung und mein Wissen an dich weitergeben, unabhängig von deinem Alter und deiner Spielstärke. ",FM
WIM Olena Hess,None,"['Deutsch, English (US), українська, русский язык']",None,None,2149,2193,None,None,Mein Name ist Olena und ich bin WIM (Frauen Internationale Meisterin).,Einer meiner größten Erfolge ist mein WIM Titel. Zudem Spiele ich Internationale Turniere und spiele in der ersten Frauenbundesliga.,"Nach meinem Studienabschluss, arbeitete ich als Schachlehrerin in einer Schachschule in Kiew.",None,None,Meine Stärken liegen im Bereich der Arbeit mit Kindern und Erwachsenen unter 1900 ELO/DWZ.,WIM
CM Pratik Patil,None,"['हिन्दी, हिंदी, मराठी, English (US)']",None,2226.0,None,None,None,None,Hi there!,I have experience of over 18 years in playing International tournaments  across the globe. ,I am also an experienced Chess trainer having trained students ranging from beginner to advanced level. ,None,None,I focus not only on technical but psychological aspects of the students as well - helping them approach the game in a better way.,CM
IM Igor Kowalski,None,"['Polski, English (US)']",Warsaw,None,3100,2716,None,None,Hi! I am International Master Igor Kowalski.,I have 17 years of tournament experience.,I have five years of experience in chess coaching.,TOP50 player on the most popular chess websites: ,I OFFER:,"My teaching style focuses on helping students improve both their understanding of the game (theory, principles, concepts) as well as their practical skill (calculation, decision-making, psychology, time management).",IM
GM Max Illingworth,None,['English (US)'],Sydney,2492.0,2912,None,None,None,"Hey there, chess friend!","- Grandmaster (earned the title in December 2015, awarded in 2016)","My journey helping others with their chess began when I was nine years old. I was coaching my friends and teammates at school, helping them learn from their games so that we could win the Primary School Competitions in our district! ","I have experienced quite a lot in the first 28 years of my life. Through chess, I have travelled to over 30 countries, and currently live in Rach Gia, Vietnam with my wife and her family. Living in a new country has broadened my horizons and given me the freedom to fully pursue my dreams of helping thousands of chess players play better chess. ","My most unique advantage as a trainer is that I'm the only chess Grandmaster certified as a High-Performance Coach by the High-Performance Institute - the most prestigious coaching certification in the world. What this means is that I have a unique ability to ask exactly the right coaching questions that allow my students to find the best answer for themselves, leveraging both my coaching ability and my student's deep knowledge of themselves and their situation. ","In my private coaching (one-on-one), I primarily focus on teaching you better thinking techniques through a Socratic method (asking questions and giving feedback on their answers), so that you can make better decisions in their games and thus, quickly boost your ratings. This also includes showing you how to make the most of your chess practice time, including assigned homework and chess material. ",GM
IM Vladan Rabrenovic,None,"['English (US), Српски језик']",Cacak,2371.0,None,2505,None,None,I’m VRabren on LIchess.,I start playing for my local team Borac from Cacak back there in 1980.,I was born 1969 in Cacak (150 km south-west from capital Belgrade) in Serbia.,I'm Electrical Engineer and Bachelor of Economics.,Practical approach to chess work. Very analytical and beyond anything very patient. I insist on understanding the moves and positions we are working on.,"If you really want to play better, just let me know. I know how to help you.",IM
FM Nikhil Dixit,None,"['English (US), हिन्दी, हिंदी, मराठी']",pune,2331.0,2728,2453,None,None,"Hello Chess Lovers, Greetings from India. I am Nikhil Dixit, 25 years old with 5 International Master norms.","I have been playing chess for the last 16 years, and I have played many tournaments in India and abroad. I have played a tournaments in countries that include the UAE, Malaysia, Romania, Netherlands, Croatia, Spain, the Czech Republic, France, Brazil,  Vietnam, Hungary, Russia, Azerbaijan, Poland, Germany, Greece, etc. Following are some of my best (international level) performances.","Over the past four years, I have gained extensive teaching experience, having taught over 75 students from various countries around the world. The majority of my students have come from India, Singapore, the USA, the UK, and Qatar.",Other than chess I have helped various chess academies and chess coaches to grow their online presence through organic marketing.,I focus on student's strengths and weaknesses. ,"My philosophy is based on 2 things - helping students improve while they also have fun, and helping them become better human beings. So during the lessons, I'll teach them chess, and work on their mindset while also sharing lessons they can use in their life and future.",FM
IM Edoardo Di Benedetto,None,"['Italiano, English (US)']",Roma,2400.0,2666,2641,None,None,"Hello, my name is Edoardo Di Benedetto and i'm an International Master.","I played chess for 13 years and i had a lot of experience even in important championships, like the european championship and many more.","i have 5 years of experience for now and i had a lot of students, i teached from beginner to professional players.",None,"my speciality are finals, im pretty good in strategy and tactics and i can make opening from requests.","Usually i prefer playing the first time against my student to see which part of his gameplay is the worst so we can work with that, than i give some files with exercise or openings to study.",IM
FM Daniel Centrón Antuña,Me enfoco en ayudarte a desarrollar tus habilidades en el ajedrez para que puedas enfrentar cada partida con estrategia y resolución,['Español'],Madrid,2303.0,2664,2452,None,None,None,Llevo jugando desde los 7 años ininterrumpidamente,Más de 7 años de experiencia dando clases,None,None,"Como entrenador de ajedrez, siempre trato de evaluar el nivel de mis jugadores para determinar qué áreas del juego necesitan mejorar. A partir de ahí, establezco objetivos realistas y desafiantes para motivarlos a mejorar su juego.",FM
FM Dmitry Rostovtsev,None,"['русский язык, English (US)']",Moscow,2569.0,2992,2775,None,None,"Меня зовут Дмитрий и я профессионально занимаюсь шахматами уже 10 лет. Научу Вас или Вашего ребенка строить логические цепочки, решать сложные шахматные комбинации, понимать эндшпиль и создать собственный дебютный репертуар. Занятия для детей проходят в развлекательной форме, с использованием новейших шахматных программ. ","Мастер Фиде, максимальный рейтинг ФШР 2470, lichess 3005. Многократный призер первенств России, абсолютный чемпион Москвы по блицу, чемпион Москвы по классическим шахматам, рапиду и блицу. ",1 год,None,None,"Нахождение слабых и сильных сторон ученика, подборка специальных заданий и шахматных дебютов. В ходе занятий работаем над ошибками в ходе анализа партий ученика, разбираем партии ведущих гроссмейстеров с комментариями и простым объяснением идей, решаем тактические и позиционные задачи. ",FM
FM Samuel Weber,None,"['Deutsch, English (US)']",Frankfurt am Main,None,2644,2473,2455,None,My name is Samuel Weber. I'm 22 years old and I want to become the best player I can be and enjoy the process.,"I have already played over 1000 games. (rated, Classic/Rapid/Blitz Games)",Almost every student of mine became better in a good period of time.,At school I occasionally played simul and gave chess training.,"I have a very good positional and structural understanding, I can also teach and convey a lot in the endgame and in tactics.","My approach is that the student always suggests what he feels like doing and what he would like to improve on, otherwise it could become too tough. In training, I will recognize a few weaknesses that we can work and improve on.",FM
IM Slavisa Milanovic,None,"['Српски језик, русский язык, English (US)']",Banjani,2326.0,2511,2534,None,None,"47 years old International master from Serbia, IT expert and pater familias!","Yugoslav Youth champion 1997; wins against GM Szabo, GM Papp Gyula, GM Rusev, GM Lajthajm...",Primary worked group lessons with children and played sparring games all leveled players,Teacher in primary school,Positional stuff!,"Excellent lessons in strategy for basic and advanced level, ''how to make counterplay?'' skill, building repetoire depending on style and wishes and good endgame teacher.",IM
IM Alexey Palekha,None,"['русский язык, English (US), українська']",Kiev,None,None,None,None,None,✅ Общая информация об обучении + отзывы 👉 ,None,✅ более 15 лет занимаюсь исключительно обучением,None,None,"✅ до 👆 начала занятий заполняется ""вводная анкета"" (чтобы получить необходимую шахматную информацию об ученике до 👆 начала занятий, а не тратить на это время в течении занятий);",IM
FM José Padeiro,None,"['Português, English (US)']",Porto,2216.0,2201,2346,2432,None,"Hello! I am Jose Padeiro, a 39-year-old Portuguese Fide Master (FM). ",I played many tournaments played in Portugal and abroad. My best performances were representing Portugal in the 2012 Olympiad and a second and third place in the Portuguese national championship.,"I have a lot of experience training young Portuguese people, having already coached several young delegations in international participations. ","Have a book published in 2011 "" Seja bem sucedido em 128 passos"".",My strengths in teaching is positional play and how to think logically during a match.,"As a general rule, I start by analyzing the player's last matches to make an x-ray. After that I check the strengths and weaknesses and insist on the weaknesses to correct them. Each player will be given a unique and unique training plan for the fastest possible evolution.",FM
IM Bahruz Rzayev,None,"['Türkçe, Azərbaycanca']",Antalya,2333.0,2726,2617,2664,None,Ben IM(Uluslararası Usta) FT(Fide Atrenörü)   Bahruz Rzayev  29 yaşındayım aslen Azerbaycanlıyım. Antalyada yaşıyorum. Milli takım antrenörlüğü yapmakdayım.,"5 defa Azerbaycan Şampiyonu, Satrancın bir dalı olan soru çözmede gençler arasında Avrupa 2. ,16 yaş okullar arası Avrupa şampiyonluğu ve bir çok açık turnuva şampiyonluğum var. 10 seneden beri satranç eğitmenliği yapıyorum.",Birçok öğrenciyle çalıştım ve onların milli oyuncu olmalarına ve unvan almalarına yardımcı oldum. Kişiye özel program sunuyorum ve esnek bir programım var.,None,None,None,IM
IM Daniele Genocchio,"""You can be anything  you want to be, just turn yourself into anything you think that you could ever be...""   -Innuendo-","['Italiano, Español, English (US)']",None,2367.0,2606,2549,None,None,"Hallo, my name is Daniele I am a Italian IM. I was born in 1981.",I was a very active professional player from the age of 16 until when I moved to Bergamo to start on new projects a few years ago.,I've had lots of students of different levels and ages. I have been teaching for more than 20 years obtaining very good reviews.,None,"I have investigated chess psicology a lot and I think that my best skill as a ""teacher"" is getting a student to feel confortable with himself.","Of course  it depends case-by-case . Lots of different approaches, guaranteed.",IM
GM PaulfromSPb,None,"['русский язык, English (US)']",Budva,None,2759,2535,None,None,"Меня зовут Павел Анисимов, мне 36 лет, родился в Санкт-Петербурге. Сейчас проживаю в г.Будва( Черногория) . Являюсь международным гроссмейстером. Рейтинг Эло 2527.  ",Вице-чемпион России среди мальчиков до 10 лет( 1996г),Опыт тренерской деятельности начиная с 2006 года. Среди учеников есть разные люди от начинающих до международных мастеров.,-,"Смогу доступно объяснить сложные моменты при разыгрывает дебюта, миттельшпиля, эндшпиля. Существует собственная программа обучения для учеников разной силы. ",Собственная методика ,GM
IM André Sousa,None,"['English (US), Português (BR)']",Portugal,2427.0,2906,2635,None,None,"Hello! My name is André Sousa and I am 24 years old, from Portugal. I have a Masters in Electrical Engineering, but I am currently a chess professional as I am focused on teaching and playing, as well as other things related to chess. It is my passion to play and understand chess better, and to pass that knowledge to the people around me. My goal is to make people play chess better and my friends are constantly bombarded with exercises or interesting positions (:","I started learning chess when I was around 4 years old, but my first official tournament was the youth district championship under 8, which I won at age 7. I have played many tournaments, both in Portugal and internationally, and my biggest wins and achievements could be:","I have been coaching for the past 8 years. I have worked with players from the Portuguese Olympic girls team, which became WFMs, some players that have improved but not at the national stage, and I am currently coaching a group of promising young portuguese talents, among others. ","I organized, during the pandemic, an online anonymous tournament where the players would play each other under the names of World Champions and the big reveal would be done only at the end, with me commentating all games during a stream. It was a fun experiment and I think it was appreciated in the portuguese chess community. Check my twitch for the final (in portuguese only ","My chess is mostly strong in openings/preparation, calculation, and practical play. I am also quite good at playing worse/lost positions, and understanding what the least bad path is!","My lessons are mainly going through your  games and discussing the various chess questions that come by. If there are no games, I discuss with you instructive positions / games, targeted at your own weaknesses.",IM
