name,headline,languages,location,rating_fide,rating_bullet,rating_blitz,rating_rapid,rate,about,playing_experience,teaching_experience,other_experience,best_skills,teaching_methodology,titles
GM Victor Mikhalevski,"I'm a very experienced coach with more than 35 years of coaching and great results of my students in Junior World, PanAmerican and European Championships ","['English (US), русский язык, עִבְרִית']",Beersheba,2565.0,None,2860,2403,None,"International Grandmaster Victor Mikhalevski, 51, from Israel ",I started playing chess at the age of 5 and I am still an active as a player.,"IM from 1993, GM from 1996",I teach chess online and offline,"I like both sharp positions with tactics and initiative, different types of endgames etc. I also compose studies and some of them won prizes in the study competitions.","When I start working with a new student I'm trying to find his weak and strong sides, mostly analyzing their games. Then I start working on their weaknesses not forgetting about other aspects of the game. ",GM
GM Luke McShane,None,['English (US)'],London,2680.0,2619,2677,None,None,"I'm 40 years old, living in Cambridge, England.  I have been nicknamed  the 'World's Strongest Amateur'.","I earned the Grandmaster title at the age of 16. My peak Fide rating is 2713, and I am proud to have competed against some of the world's best players. In classical chess, I have wins against Carlsen, Kramnik, and Aronian to my name. I have represented England on numerous occasions. In March 2019 I won an individual gold medal on board 2 at the World Team Championships in Astana.",Every individual deserves a unique approach. I use my experience to figure out what that should be.,None,None,Every individual deserves a unique approach. I use my experience to figure out what that should be.,GM
WGM Maria Malicka,None,"['Polski, English (US)']",Warsaw,2255.0,None,2361,None,None,"I am a 20 years old player from Poland with many years of experience. My greatest achievements include winning a silver Olympic medal and the title of women grandmaster. I have been learning from the best Polish trainers for many years, and now I would like to share this knowledge with others.","I have travelled all over the world for the last 10 years, and played in many different countries. Last 2 years I was playing in United States. I have played in most prestigious international tournaments.","I taught chess at school and in group classes for two years, I have experience in working with children.",None,"Since I am an active player, I am constantly dealing with tournament play, preparation and training. From my own experience, I know what to focus on in order to keep improving  and achieve the best results.",None,WGM
FM Sargis Manukyan,"For the last 3 years I have worked with students from 30 countries!!! I work in any time zone, come improve your level in chess with me!","['English (US), русский язык, Հայերեն']",Yerevan,2216.0,2711,2519,2534,None,"I am FIDE Master Sargis A. Manukyan 27 years old, from Armenia. ",None,In 2015 I started to give private and group lessons. ,None,My lessons cover all aspects of the game:,"It is crucial to analyze one's own games. I can help you with that, highlighting the typical mistakes you make, why you are making them and how to avoid doing so in the future. We can also play training games and analyzing them afterwards. I am going to teach you key strategic and endgame concepts and help you understand tactics deeply. We are going to look at famous games, as well as games from my own practice.",FM
IM Misha Bilous,None,"['English (US), українська, Deutsch']","Originally from Ukraine, based in Vienna",2423.0,2618,2544,None,None,"Hi there! My name is Misha Bilous. I am a 25-year-old International Master from Ukraine, Ukrainian champion U-20 in 2016. My current Elo rating is 2423. Besides my chess career,  I have obtained a bachelor's degree in pedagogy. I'm a Chessable author:","I have been playing for about 19 years, defeating many International Masters and Grandmasters in international tournaments. ","I have been teaching chess for over 7 years at school and online. I have obtained a bachelor's degree in pedagogy, which helps me find an individual approach to students. Since graduation, my complete focus has been on coaching, immersing myself in the world of chess.",None,None,I will broaden your game understanding and teach you to think unbiasedly. You will receive a personalized study plan designed for your level and playing style.,IM
FM Игорь Мизинов,None,['русский язык'],Санкт-Петербург / Ульяновск,None,2483,2327,2147,None,👋Привет! Я Мастер ФИДЕ Игорь Мизинов. ,None,🎓Преподаю шахматы детям(от 4ех лет) и взрослым от начинающих до уровня КМС более 7 лет.,None,🧠Разбор партий,"✅Опыт. Тренер должен иметь достаточный игровой и тренерский опыт в шахматах, чтобы помочь ученику развивать свои способности.",FM
IM Pavel Sevostianov," Тренер призерiв чемпiонатiв України,Світу,Европи серед дітей.Навчання українською або російською мовами. Від 500 грн./год(15 usd).Дякую за увагу!","['українська, русский язык']",Kyiv,2401.0,2557,2450,None,None,"Міжнародний майстер(IM),майстер спорту України.",-3 place in the club championship of Ukraine,None,None,None,None,IM
IM Adrian Petrisor,"“I am convinced, the way one plays chess always reflects the player’s personality. If something defines his character, then it will also define his way of playing.”","['Română, English (US)']",Timisoara,2404.0,None,2620,None,None,My name is Petrisor Adrian,"Romanian national champion - 4 times - U 12, U 14, U 16, U 20 ;",WORLD JUNIOR U 10 - Lacan David - WORLD CHAMPION ( 2022 ) ,Best skills,"I have great knowledge of the opening, middle game, and endgame.",First and foremost: I understand everyone is unique; I can tailor my teaching style to your individual needs. I want you to succeed; there is no one size fits all for chess coaching.,IM
IM Nikolai Aliavdin,None,['Polski'],None,None,2710,2617,2671,None,Hi I'm International Master,.,.,.,.,.,IM
FM Agil Pirverdiyev,None,"['English (US), Türkçe, русский язык, Azərbaycanca, Español, العربية, 中文, हिन्दी, हिंदी, Português, Deutsch']",Baku,2411.0,2559,2341,None,None,Pirverdiyev Agil,"More than 20 years of experince, winning 100+ Open tournaments",l have IM students,chess commentator,A00-E99,"First lesson is trial lesson, we get to know each other",FM
GM Sergei Zhigalko,None,['русский язык'],Minsk,2695.0,3202,2754,None,None,♟Профессиональный шахматист,🏆Чемпион Европы по блицу среди мужчин (2017),♟По образованию - тренер по шахматам,Активный шахматный стример на YouTube,None,None,GM
IM Ortik Nigmatov,None,['русский язык'],Tashkent,2450.0,2691,2424,None,None,Я Нигматов Ортик из Узбекистана... Мне 23 года...,"Профессионально занимаюсь шахматами с 5 лет... На сегодняшний день я Международный мастер с рейтингом 2473, на пике было 2494... У меня есть 5 ГМ норм, только не хватает рейтинга для оформления...",На сегодняшний день Тренер и Ассистент одного перспективного Гроссмейстера с рейтингом +2600...,None,None,"Могу поделиться опытом, повысить уровень игры, улучшать тактических и стратегических навыков, работать над дебютном репертуаром...",IM
FM Mateusz Paszewski,None,"['English (US), Polski']",Częstochowa,2355.0,None,2605,None,None,"I am young, hard-working coach from Poland with FM title. I obtained FIDE instructor title in 2022. I am interested especially in competitive projects and ambitious players who want to surpass to their limits.  I can help you with building opening repertoire, analysing games but the mostly important all aspects of middlegames and decision making process.",I have played chess my whole life but last 10 years I dived a lot  deeper into world of chess. I played in many Polish Youth Championship and foreign tournaments as well as leagues. In 2018 i scored my first IM norm with my best performance 2591.,"I have been teaching chess in my city for 10 years already and my young pupils made huge progress to promote to Polish Championship and 1st Polish league.  In 2017 i became full time coach in my city, i have a lot of young students who started winning local tournaments and more serious tournament. In 2020 I found chess academy. ",working as a second of WIM Anna Warakomska(2nd place in Polish Women's Championship 2018)  and GM Grzegorz Nasuta and others polish GMs and WGMs,Strong understanding of middlegames and good calculations. A lot of patience and a lot of materials. Very wide and deep opening knowledge.,"I can adjust if you have any specific topic you want to improve, but if you have no wishes I will check your games and analyse them with you searching for weakness and trying to fix it. General middlegames topic and decision making is definitely on top of my priority list. If necessery I can help with building opening repertoire",FM
CM Bülent Erşahin,Sistematik ve dijital eğitim. www. satrancsorusu.com üzerinden seviyelere uygun çalışmalar ve www.satrancdersi.com üzerinden 250'den fazla video anlatımlı temel bilgiler ,"['Türkçe, English (US)']",None,None,2504,2435,None,None,Eğitim: Antalya Anadolu Lisesi  Hacettepe Üniversitesi : Bussiness Administration (İşletme İngilizce),2004 Avrupa Şampiyonası performans ödülü,Her yaş grubuyla 15 yıllık Satranç Eğitimi tecrübesi,None,Konum Anlama ve uygun plan geliştirebilme.,   ,CM
GM Pavel Potapov,None,['русский язык'],None,2482.0,2658,None,2579,None,"Гроссмейстер, 33 года, основатель шахматной гостиной Yamal Chess. Email: pavel-potapov@mail.ru",Играю в шахматы с 4 лет.  Победитель и призер всероссийских и международных соревнований. Участник Всемирной шахматной Олимпиады (2010).,"Гроссмейстер, занимаюсь своим любимым делом — тренерской работой более 15 лет, стараюсь работать на максимально возможный результат. Есть опыт работы и с профессиональными спортсменами, и с новичками.",None,None,"Skype или Zoom, Телемост; подобранное домашнее задание.",GM
CM Paul Atkinson,None,"['Deutsch, English (US)']",Swansea,2111.0,2165,2134,2300,None,John Paul Atkinson,Played a lot as junior as Welsh under 18 champion. Now discovering how to reach master strength on Lichess... join me on the journey of discovery! Also trying to start my stream....,Teaching in Berlin for the evening school. Also a lot of experience teaching people in big companies on communication topics.,see above.,CM,Interactive,CM
FM Murali  Mbm,International Player. Best Fide Rating 2420. National-B Runner Up. 45 Years Experience in National Chess. Participated Abudhabhi International .s 2005 & Tehran 2007.,"['മലയാളം, हिन्दी, हिंदी, தமிழ்']",Kerala,2110.0,2320,2342,2429,None,International Player.,45 years of playing and coaching experience.,"35 years experience in coaching.My Students  Grand master Nihal Sarin, Grand master G,N,Gopal ,Grand master Aswin jayaram etc.",Chess Commentator,Chess Commentator,"Online classes (Zoom, Skype, lichess).",FM
IM Владимир Пермяков,None,['русский язык'],Новосибирск,2242.0,2366,2369,None,None,"65 лет , международный мастер ,Россия , Новосибирск","6 место в чемпионате Латвии 1994 г , международный турнир Владивосток-1996 г 1-3 место (с гр  Архиповым и гр Комляковым) , призер и чемпион многих международных турнирах",Опыт преподования с 1998 г,None,None,None,IM
FM Juan Rottenwöhrer,None,"['Español, Français, Deutsch, English (US)']",None,2321.0,2510,None,None,None,"I am a 23 year old FIDE Master, graduate in applied foreign languages, currently studying a master's degree in Intercultural European Studies in Madrid!","Among the tournaments I have played I would highlight my win in the Madrid rapid 2014 championship and in the III Classical tournament Los Molinos. Also wins over GM Kovchan and GM Georgiev in classical chess, or Ivanchuk and Xiong in online blitz.","I have had students from all over the world, specially kids, who have very quickly learned to understand the basics of chess and, most importantly, to enjoy it. I have worked for a year in a school in the south of France too.",None,I would say I'm a pretty complete and consistent player.,"My teaching methodology depends on the level and ambitions of the student. If the player already knows how to play, I first analize my students games to know what their style and repertoire are. Then, when we know which are the strenghts and weaknesses, we work on them. We'll also train the repertoire and learn theory and plans. I also like to study endgames, which are a fundamental part of the game to understand and win more games!",FM
FM Daler Vakhidov,None,['English (US)'],None,2313.0,2801,2608,2513,None,Hey there! My name is Daler and I am 21 years old FIDE Master. I have been been playing chess since I was 5 years old and train daily with my father and brother . I am a very active and dynamic player who has worked with a lot of different coaches and has coached many students as well. ,I have been playing chess for over 15 years.,"• I have over 3 years of experience working as a professional chess coach with students from all over the world, including the USA, Switzerland, Denmark, Germany, England, Singapore, and more.",During typical lesson we would consider all aspects of chess:,OPENINGS:," Before the first lesson, I will identify your level of chess and come up with a long term training plan. I will assign you homework weekly. You will be able to send me any questions or games any time and I will be trying to answer them asap. During the lessons, we will be doing many different things, it will mostly depend on your level. For every level there is an appropriate way of teaching. I have an individual training approach to every student that will help you to find the issues in your play and fix them.",FM
FM Mark Rubery,None,['English (US)'],Johannesburg,2219.0,None,2357,None,None,"Hi, I am based in Johannesburg  and have been the daily  chess columnist of 'The Star' newspaper for over 25 years -syndicated in other newspapers in Pretoria, Durban and Cape Town.",Played and won numerous  tournaments around the country and three time winner of the Oude Meester Player of the Year. ,For many years privately coached some  of our top junior players.," I was co author with Darryl Accone,  of the book 'Chess Summit' Kasparov v Karpov 1986  (I believe Karpov has a copy in his library !) along with 'Springboks in Armenia' which focused on the South African team at the 1996 Olympiad.",Able to convey the essence of a position in an easy to digest way,Initially an overall assessment of the level of the student through  an examination of their games.,FM
FM Nicolo Pasini,None,['Italiano'],Milan,2233.0,2024,2328,None,None,"I am a Fide master from Italy, i work as an opening preparator for some very strong 2600+ GMs, and i also created a completely new and very interesting opening which has alredy been played a couple of times by them.","I won against some 2600 GMs in over-the-board games in my career, alredy got an IM norm and i aim to get the IM title as soon as possible while studying informatical engeneering.","Courrently i still work as an opening preparator, and as a coach i have 4+ years of experience in general and also i am working with some of the best uprising italian chess talents",I commented on chess24 for a while already and i aim to create my very own twitch channel to stream and teach to more people as well,"Definitely my best skill in chess is opening preparation, i can make targeted preparations or general repertoire coverage, aiming to give you the best lines that suits your style with tons of new ideas.",None,FM
CM James Coleman,None,['English (US)'],"Horley, Surrey",2207.0,2469,2422,None,None,"Hi! I'm James Coleman from England, 47 years old, and have been playing chess since I was 7. ",I've competed in many international tournaments around the world and experienced all the highs and lows that go with it. I have now been retired from competitive chess for quite some time in order to focus on coaching.,"As a coach I've worked with people from all ages and backgrounds, online as well as face to face, and I believe the key to improvement is enjoying the game and setting realistic goals. I'm completely self-taught in chess so I know what sort of study methods don't work well, and can help you avoid these pitfalls. So, whether you're simply in a bit of a rut or you want to make serious progress I'm available to help you reach your goals. Feel free to get in touch. Both online, as well as in-person coaching is available. I usually try to respond to messages very quickly, and will usually get back to you within a couple of hours. ","Just started livestreaming to the chess community, you can follow my twitch channel here:","All my lessons are personally tailored to the needs of the student, I don't believe in a 'one size fits all' approach, as everyone has their own strengths and weaknesses. I believe I have a good communication style and enjoy explaining chess concepts in an easy to understand way.","Lessons are normally given using online analysis board + Zoom. I will suggest extra work for independent study to cement the work done during lessons, and I am always available to answer questions outside of the scheduled lesson time. I really care about all my students and want them to progress, not only that, I want them to experience the increased enjoyment and pleasure from the game that fresh insights will provide.",CM
CM Paulo Fanha,None,"['Português, English (US)']",Portugal,None,None,2096,None,None,"I am a Portuguese chessplayer, currently living in Moscow - Russian Federation.",European Amateur Vice-champion (2015),I was the first National Coordinator of Chess in Portuguese schools and I am teaching chess since the nineties.,"Author of ""No chess for old men"" (2019) - available at Amazon and Kindle.","If you want to improve your Endgame play and, consequently, your results, I am your man.",I adapt my lessons to every single student. Their satisfaction is my goal.,CM
GM Даниил Линчевский,None,"['русский язык, English (US)']",https://lichess.org/coach/Lintchevski_Daniil,2540.0,3120,2882,None,None,"✅Международный гроссмейстер, мастер спорта России.",🥂Мои успешные выступления:,"👨‍🎓Преподавал в различных шахматных школах и академиях. 🌍Среди учеников есть чемпионы России,Казахстана,Германии.",None,"👌Современная дебютная подготовка, позиционное понимание, техника игры в эндшпиле.",😉Индивидуальный план развития,GM
GM Roeland Pruijssers,None,"['Nederlands, English (US)']",None,2537.0,2653,None,None,None,"Hello! My name is Roeland Pruijssers, I am a 34 year old Grandmaster from the Netherlands. I learned chess from my dad when I was 4 years old. Since then I have played in tournaments and competitions which eventually earned me the title of Grandmaster. I have taught many students over the years of which some have titles themselves now. Nowadays I am also a Chessable Author and I have made chessvideo's for websites like Chess24, Chessbase, ","Famous opponents include: Magnus Carlsen, Anish Giri, Wesley So and many more. ","4 years ago I started teaching fulltime. Before that I occasionally gave lessons, did simuls, gave lectures, and helped friends to get better. ","Official commentator for (amongst others) the online 2020 olympiad. I have made several video series over the years which are available on multiple platforms. Amongst others: Chessbase, Chess24 and GingerGM . If you are interested in some of my products than here are a few links: ",Solving tactical positions and learning openings,I offer a personalized training programme based on your personal needs. We will take a look at your games and at your thought process during games to find out how and where you can improve.  ,GM
FM Nikita Voinikonis,None,"['русский язык, English (US)']",Moscow,2126.0,2689,2666,None,None,"Тренирую новичков, стоимость 20$ в час или 2000 рублей в час.",None,Подготавливал к каждой конкретной партии разного уровня шахматистов,None,None,"I play training games. , I try to identify the reasons for the student's mistakes in order to prevent them in the future.",FM
FM Denis Trifonov,None,['русский язык'],минск,2216.0,2469,2329,2289,None, Trifonov Denis MF  по шахматам.  41 год. Беларусь. Минск.,Чемпион 1 лиги Республики Беларусь. Победитель Республики Беларусь по быстрым шахматам. Победитель и призер международных соревнований. , Профессиональный  тренер-преподаватель по шахматам. Дипломированный тренер по шахматам. ,"Провожу  шахматные турниры , сборы, лекции, семинары , организовываю поездки на международные соревнования, спортивные шахматные лагеря для детей.  Могу комментировать партии .",Тактика. ,Лекции.,FM
WFM S. M.,None,"['हिन्दी, हिंदी, বাংলা, English (US)']",None,2027.0,2333,None,None,None,I am a WFM from India coming from a Professional Chess Family. My sister is a WGM/IM while my dad is involved in teaching chess to young kids.,"I have been playing Chess at State, National and International Level for the last 36 years!",I have taught Chess to school children of 5-19 years for  16+ years and also giving online classes to students from various countries esp. US for the past 14+ years.,I have also composed a song on Chess in Indian National language on which my students performed. The link to which is --,improving a student's calculating ability,"Depending on the standard of a student and keeping in mind his/ her strong points and weaknesses, I make a plan and then follow up regularly over email and whatsapp. If required, I also make a weekly time table depending on the time they can put in for Chess. I analyze",WFM
FM Никита Шандрыгин,None,"['русский язык, English (US)']",None,2323.0,2829,2623,None,None, My name is Nikita Shandrygin. I have been an active chess player and coach for many years. I offer online chess lessons to students of all levels and ages.,"В шахматы играю уже около 15 лет,за это вермя мне удалось стать многократным чемионом СКФО ,5 кратным чемпионом Ставропольского края ,и призером чемпионата России по быстрым шахматам.","Мой тренерский опыт составляет уже более 4 лет ,за это время многим моим ученикам удалось выполнить разряды и стать кандидатами в мастера спорта.С 2018 по нынешнее время через меня прошло более 50 учеников.",None,"Я считаю главным своим умением найти общий подход с учеником,и подобрать ту методику ,которая потребуется в зависимости от возраста и уровня игрока.Таким образом, получается ,что у меня нет одного готового плана ,который я использую со всеми учениками,а план я составляю индивидуально.","На своих занятиях я стараюсь максимально вовлечь в процесс ,в результате этого, занятия проходят легко и непринужденно ,но при этом дают ощутимый результат.",FM
GM Vladimir Malakhov,None,"['русский язык, English (US)']",None,2646.0,None,None,None,None,"Professional chess player and coach from Russia, 42 y.o. FIDE personal card link: ","GM since 1998, in top-100 for 20+ years so far.. World Team Championship 2010 winner, European Rapid Championship 2009 winner, European Individual Championship 2003 and 2009 runner-up. ",About 20 years of coaching experience with students of very different levels. FIDE Senior Trainer (awarded in 2023),None,Based on my chess experience help to improve endgame technique and middlegame understanding.,None,GM
FM Talu Mircea,I will improve your game and share with you all the knowledge I've gathered in 15 years of playing chess professionally.,"['English (US), Română']",Cluj-Napoca,None,2703,2514,2346,None,"My name is Mircea Talu, I'm a 19 year-old Fide Master (FM) with a 2337 ELO rating from Romania. I've represented my country at many international competitions and won multiple medals. I know what it takes to be a top level sportsman and I am confident that my journey has taught me a lot of things that you will greatly benefit from. In order to become a great player, I think it's very important to have someone who has been there and done that guide you. Some of my hobbies include football, computer science, maths, history, video games and formula1.",Silver Medal at the European Youth Rapid Championship,This is a new beginning for me. I did coach my little brother when we were younger and managed to get him to achieve good results.,"I am also streaming on twitch and I've commentated some online chess matches in international leagues (Romania vs Serbia, Romania vs Spain etc.) on my channel.","During my career, I've had a lot of coaches from different backgrounds and at different points in my life. I think that this helped me understand what I want from a coach and what a coach is supposed to be. In my opinion, a coach is supposed to be:","First of all, we will analyze every aspect of your game in order to find your strengths and weaknesses. Then, I will create a personalized program for you, where we will target the areas that I feel have the largest room for improvement. I am a firm believer that each stage of the game is equally important (opening, middlegame and endgame) and we will make sure that you are all set and you know what to do in each one of them. I also think that experience is very important so I will encourage you to play as much chess as possible and analyze your games. Of course, if you have a request or your own agenda, I will follow it and teach you what you desire. My goal is to develop your intuition and 'feel' for the game.",FM
FM Willi Skibbe,None,"['Deutsch, English (US)']",None,None,2290,2354,None,None,"Hey,",Ich spiele seit 2019 in der Oberliga erfolgreich und  plane nach der Corona-Pandemie wieder regelmäßig Opens zu besuchen.,"Ich habe immer wieder jugendliche und Kinder trainiert, außerdem trainiere ich aktuell einen erwachsenen Mann auf meinem Kanal",None,Ich habe mehrere Landesmeister und Kaderspieler hervorgebracht.,"Es erfolgt immer eine kurze Vorbesprechung, um die Ziele zu definieren.",FM
FM Yosha Iglesias,None,"['Français, English (US)']",Paris,2300.0,2628,2724,None,None,"I'm 35 years old, and I've been a professional chess coach for 15 years!",FIDE Master ,15 years of experience as a professional coach,"I compose studies and problems, and I also work for a chess website! ","Openings: I have played many openings and have worked on many more for my students: Dragon, Pirc, Modern, Philidor, King’s Indian, Slav, Italian, Colle, London, Reti… With me, you’ll have the choice between learning an easy-to-play system or creating the foundations for a rich repertoire that can be played even at Master level.","I personalize my training according to your strengths, weaknesses, and also your tastes. ",FM
FM Александр Чернявский,None,"['русский язык, English (US)']",SEA,2354.0,None,2504,None,None,"Привет! Меня зовут Александр, и я тренер по шахматам с более чем десятилетним опытом. ",Победитель чемпионата России в высшей лиге 2007; многократный призер чемпионатов России в высшей лиге;,Тренерский стаж более 10 лет. Занимаюсь с любым возрастом и любым уровнем игры.,Окончил школу с углубленным изучением английского языка. Окончил магистратуру с красным дипломом по специальности “Интеллектуальные системы”. В данный момент путешествую по Юго-Восточной Азии.,"🔹Глубоко понимаю игру, имею огромный турнирный опыт и теоретическую базу;",None,FM
FM Mihailo Djokic,None,"['English (US), Српски језик']","Belgrade, Serbia",2137.0,2699,2551,None,None,"Hello! My name is Mihailo Djokic from Serbia. I am 22 years old and have been playing chess since I was four years old, with serious training starting at the age of twelve. I use these many years of experience as my main tool for helping my students improve. Feel free to message me any time if you are interested.",I started playing chess seriously When I was 14 years old and nowadays I am trying to achieve my best and potential IM or GM title as well. ,"I have taught chess for three years and have successfully succeeded with my students. For example, one of my best students, Efi Rosenborg, went from a 1500 rating to almost 2100 in just 6 months of working with me. I have also worked with several players from the US and some have even won over-the-board tournaments in the USCF rating system. I feel immense pride and joy seeing my students make remarkable progress!","I played football for 6 years among with chess, also big fan of tennis ","1. Opening theory: (Reti, Sicilian Defence, French Defence, Kings Indian, Different gambits,            depending on your style of playing with strategy and tactical ideas)","Lesson 1: Analyze two games played against students as white and black, focusing on identifying mistakes, missing tactics, making strategic decisions, and assessing tactical calculations. See if there are better alternatives.",FM
CM Владимир Михайловский,None,['русский язык'],None,2215.0,2931,2714,2554,None,"Всем привет, мне 24 года, я Российский КМС и CM (Candidate Master), актуальные рейтинги есть в профиле фиде. Веду канал на ютубе и обучаю людей шахматам.","Играю в шахматы с 5 лет, был чемпионом Москвы по рапиду до 18, занял 19 место в Чемпионате России по блицу среди мужчин в 2019 году, 2 место в Чемпионате Москвы по блицу до 21, 3 место на чемпионате Москвы по блицу до 18, 8 место в турнире ""С"" Москоу опен 2016, 7 место в турнире ""С"" Аэрофлот опен 2020, победитель 10 турнира Видеоблогеров. Пиковый рейтинг фиде по блицу 2504, так же я неоднократно показывал перфомансы 2500+ в живых турнирах с обсчетом рейтинга фиде и побеждал многих Мастеров и Гроссмейстеров. ","Тренирую с начала 2018 года, занимался с более 70 учениками, все они были абсолютно разного возраста и уровня игры. Со многими продолжал и продолжаю достаточно долго заниматься и добиваться поставленных целей.  Почти у всех, с кем занимался регулярно, был прогресс в понимании шахмат, уровне игры и повышение рейтинга на 100-600 пунктов lichess/Chess.com, 100+ прибавка рейтинга фиде. Отзывы учеников: ",Мои живые турниры:,None,"Занятия будут проходить по следующей схеме, первое занятие ознакомительное: знакомимся, смотрим ваши партии, типичные позиции, тактику и т.д.  Дальше уже по конкретной ситуации. В приоритете работа по программе и над вашими индивидуальными вопросами и проблемами в шахматах. На занятиях возможно изучать множество тем, тактические/стратегические, все стадии партии, разбирать партии, играть тренировочные, различные теоретические и практические приемы и другое. Материал берется на основе обучающей программы, хороших книг, партий гроссмейстеров и моего личного опыта как игрока, тренера и ученика у хороших тренеров. Программа с теоретическими материалами, практическими примерами и заданиями. Идет напрямую индивидуальная работа, поэтому ее можно подстраивать под каждого, стараюсь прислушиваться ко всем пожеланиям учеников. При должных стараниях с вашей стороны могу гарантировать повышение вашего уровня игры. Если вас заинтересовало, или есть какие-то вопросы, то можете написать мне в личные сообщения вк или на почту.",CM
IM Vladan Rabrenovic,None,"['English (US), Српски језик']",Cacak,2371.0,None,2505,None,None,I’m VRabren on LIchess.,I start playing for my local team Borac from Cacak back there in 1980.,I was born 1969 in Cacak (150 km south-west from capital Belgrade) in Serbia.,I'm Electrical Engineer and Bachelor of Economics.,Practical approach to chess work. Very analytical and beyond anything very patient. I insist on understanding the moves and positions we are working on.,"If you really want to play better, just let me know. I know how to help you.",IM
IM Dusan Radovanovic,None,['English (US)'],Belgrade,2321.0,2344,2497,None,None,My name is Dusan Radovanovic and I am an International Master. I’ve been a chess coach for 20 years and I am offering chess lessons to players of all levels. I am especially dedicated to recognition of your chess style and character insisting on the thinking processes and understanding of chess. ,"I've been competing in European and World Chess Championships, regularly playing Premier National league in Serbia as a domestic player and abroad as a foreign player. Junior Chess Champion of Yugoslavia in 1998-1999.",I have been coaching Serbian Youth Chess Champions and many players who had significant results on national and international levels.,None,None,My work with students is based on the long-term personalized Working plan that I create for all the students according to their preferences and chess goals. The Working plan lists the openings that would fit your style and literature which will help you on the way to reach your goals. When working with students I use methodological tools that I learned from the world best coaches. I especially worked on approach to young chess players who need special psychological approach and not only the chess materials.,IM
WIM Ana Gavasheli,None,"['English (US), ქართული, русский язык']",Tbilisi,2226.0,None,None,None,None,"I am from Tbilisi, to me it is the most beautiful city on earth! Chess professional more than twenty-five years. Currently learning computer science, intend to become a master here as well. Anyway, these words of Bobby Fischer still work for me -""All I want to do, ever, is play chess.""",Woman International Master. Multiple winner of Georgian Youth Chess Championships since 1997. The winner and a prize holder of several international chess tournaments among women. ,"The first serious experience of coaching was in 2013-2014, when I was working at a public school as a volunteer chess teacher in high mountainous village of Georgia. I was giving lessons of English language and literature as well. Since then I also have private students.","For students who do not have time for online classes, I draw up the personal plan and write appropriate material to work with.","I am able to train you in every field of the game, up to the medium specialist level, but my strongest side is an endgame play. ","I configure the teaching plan personally for each student, according to their knowledge level.",WIM
WGM Татьяна Шадрина,None,"['русский язык, English (US)']",None,2320.0,None,2438,None,None,Tatiana Shadrina a Russian woman grandmaster since 1998 and an active player till 2014. More than 15 years of coaching experience.,"Playing chess all my life , my best tournaments are sharing 3-5 places in a Woman European Championship 2009, (gold, bronze and silver) medals in Russian Higher League, gold and silver medals in Russian and Euro Club Championship as a member of UGRA team, 5 times participant of a Russian Woman Superfinal",I've been working in a local chess school for more than 15 years,None,None,Working via Skype and ,WGM
IM Rakesh Kumar Jena,None,"['English (US), हिन्दी, हिंदी']",Cuttack,2335.0,None,None,None,None,"I am Rakesh, a native of Odisha, India. Since 2007, I have immersed myself in the intricate world of chess, embarking on a journey defined by unwavering dedication and fervor.",I started playing chess in 2007 and turned professional in 2009.,"We can schedule lessons via Zoom, with a focus on the Middlegame and Endgame.",None,None,"We can schedule lessons via Zoom, with a focus on the Middlegame and Endgame.",IM
FM Márton Urhegyi,"“Every chess master was once a beginner.” – Irving Chernev, One of my main goals is to show you how amazing and beautiful this game is!","['Magyar, English (US)']",Budapest,2300.0,2601,2427,None,None,"Hi, my name is Marci, I am a 25 year old chess player and coach from Hungary, with 1 IM norm and peak rating of 2340. Apart from chess, I am university student, and professor assistant,  I have acquired my bachelor's degree and now I'm doing my master's studies.","I started playing chess at the age of 6. I achieved the Fide Master title at the age of 15. I won the Hungarian U18 Championship with my team  3 times and individually finished 3rd in the U20 Hungarian Championship. Currently, I am playing in the first class of the Hungarian National Championship and in the Slovakian Extraleague. The strongest opponent I beated OTB was Maxim Chigaev (Grandmaster from Russia rated around 2600 in classical).","I have 5 years of teaching experience with students from the beginner level up to the 2100 rating level. I worked together with 6 years old girls and 30+ years old dads so age is not a problem for me. I think I am a funny person and I can teach you interesting things about chess and life! I like interactive lessons, so you can expect to be an active participant in the lesson, as in my opinion, it is the fastest way to get to the next level. I was several times leader for my club and my students won the Hungarian U10 team championship, and one of my students won the indivudual U10 championship and another one the U12 championship. Two of my students participated on the European Championship last year.","I also have coaches and very good friends from chess, so I often cooperate with my international master and grand master mates and I have up-to-date databases and opening repertoires. During my childhood, I competed not just in chess (athletic, karate, table tennis, ice skating), so I have real-life stories to improve your competitive mindset. ","I have attacking style in chess, I love extremely sharp positions. I have so many studies and books in pdf and in pgn formats, I was a pro member in chessmood and in chessable. I like working with computers, so if you have any questions about how to use professional chess programs I could help you. If I want to compare myself with other coaches and masters, I think my biggest advantage is I am not just a chess player, but a highly educated university student, so if you have questions not just in chess, maybe I can help you. ","I adapt my teaching methods based on the student’s level, objectives and needs. ",FM
